Fila	Nodo	Estación	Hora	Ruta
74	74	Y2E2-(Via-Ortega) 	9:02 AM	1050-Arastradero
75	75	Main-Quad-(Memorial-Church)	9:04 AM	1050-Arastradero
76	76	California-Ave-@-Yale-St	9:10 AM	1050-Arastradero
77	77	1500-Page-Mill-Rd	9:16 AM	1050-Arastradero
78	78	3170-Porter-Dr	9:18 AM	1050-Arastradero
79	79	1050/1070-Arastradero-Rd	9:28 AM	1050-Arastradero
80	80	3165-Porter-Dr	9:33 AM	1050-Arastradero
81	81	Page-Mill-Rd-(Peter-Coutts-East)	9:35 AM	1050-Arastradero
82	82	El-Camino-Real-@-California-Ave 	9:41 AM	1050-Arastradero
83	83	Main-Quad-(Campus-Oval-Side) 	9:45 AM	1050-Arastradero
84	84	Li-Ka-Shing-Center-(Campus-Dr) 	9:50 AM	1050-Arastradero
85	85	Li-Ka-Shing-Center-(Campus-Dr) 	9:20 AM	1050-Arastradero
86	86	Y2E2-(Via-Ortega) 	9:22 AM	1050-Arastradero
87	87	Main-Quad-(Memorial-Church)	9:24 AM	1050-Arastradero
88	88	California-Ave-@-Yale-St	9:30 AM	1050-Arastradero
89	89	1500-Page-Mill-Rd	9:36 AM	1050-Arastradero
90	90	3170-Porter-Dr	9:38 AM	1050-Arastradero
91	91	1050/1070-Arastradero-Rd	9:48 AM	1050-Arastradero
92	92	3165-Porter-Dr	9:53 AM	1050-Arastradero
93	93	Page-Mill-Rd-(Peter-Coutts-East)	9:55 AM	1050-Arastradero
94	94	El-Camino-Real-@-California-Ave 	10:01 AM	1050-Arastradero
95	95	Main-Quad-(Campus-Oval-Side) 	10:05 AM	1050-Arastradero
96	96	Li-Ka-Shing-Center-(Campus-Dr) 	10:10 AM	1050-Arastradero
97	97	Li-Ka-Shing-Center-(Campus-Dr) 	9:40 AM	1050-Arastradero
98	98	Y2E2-(Via-Ortega) 	9:42 AM	1050-Arastradero
99	99	Main-Quad-(Memorial-Church)	9:44 AM	1050-Arastradero
100	100	California-Ave-@-Yale-St	9:50 AM	1050-Arastradero
101	101	1500-Page-Mill-Rd	9:56 AM	1050-Arastradero
102	102	3170-Porter-Dr	9:58 AM	1050-Arastradero
103	103	1050/1070-Arastradero-Rd	10:08 AM	1050-Arastradero
104	104	3165-Porter-Dr	10:13 AM	1050-Arastradero
105	105	Page-Mill-Rd-(Peter-Coutts-East)	10:15 AM	1050-Arastradero
106	106	El-Camino-Real-@-California-Ave 	10:21 AM	1050-Arastradero
107	107	Main-Quad-(Campus-Oval-Side) 	10:25 AM	1050-Arastradero
108	108	Li-Ka-Shing-Center-(Campus-Dr) 	10:30 AM	1050-Arastradero
109	109	Li-Ka-Shing-Center-(Campus-Dr) 	10:00 AM	1050-Arastradero
110	110	Y2E2-(Via-Ortega) 	10:02 AM	1050-Arastradero
111	111	Main-Quad-(Memorial-Church)	10:04 AM	1050-Arastradero
112	112	California-Ave-@-Yale-St	10:10 AM	1050-Arastradero
113	113	1500-Page-Mill-Rd	10:16 AM	1050-Arastradero
114	114	3170-Porter-Dr	10:18 AM	1050-Arastradero
115	115	1050/1070-Arastradero-Rd	10:28 AM	1050-Arastradero
116	116	3165-Porter-Dr	10:33 AM	1050-Arastradero
117	117	Page-Mill-Rd-(Peter-Coutts-East)	10:35 AM	1050-Arastradero
118	118	El-Camino-Real-@-California-Ave 	10:41 AM	1050-Arastradero
119	119	Main-Quad-(Campus-Oval-Side) 	10:45 AM	1050-Arastradero
120	120	Li-Ka-Shing-Center-(Campus-Dr) 	10:50 AM	1050-Arastradero
121	121	Li-Ka-Shing-Center-(Campus-Dr) 	10:20 AM	1050-Arastradero
122	122	Y2E2-(Via-Ortega) 	10:22 AM	1050-Arastradero
123	123	Main-Quad-(Memorial-Church)	10:24 AM	1050-Arastradero
124	124	California-Ave-@-Yale-St	10:30 AM	1050-Arastradero
125	125	1500-Page-Mill-Rd	10:36 AM	1050-Arastradero
126	126	3170-Porter-Dr	10:38 AM	1050-Arastradero
127	127	1050/1070-Arastradero-Rd	10:48 AM	1050-Arastradero
128	128	3165-Porter-Dr	10:53 AM	1050-Arastradero
129	129	Page-Mill-Rd-(Peter-Coutts-East)	10:55 AM	1050-Arastradero
130	130	El-Camino-Real-@-California-Ave 	11:01 AM	1050-Arastradero
131	131	Main-Quad-(Campus-Oval-Side) 	11:05 AM	1050-Arastradero
132	132	Li-Ka-Shing-Center-(Campus-Dr) 	11:10 AM	1050-Arastradero
133	133	Li-Ka-Shing-Center-(Campus-Dr) 	10:40 AM	1050-Arastradero
134	134	Y2E2-(Via-Ortega) 	10:42 AM	1050-Arastradero
135	135	Main-Quad-(Memorial-Church)	10:44 AM	1050-Arastradero
136	136	California-Ave-@-Yale-St	10:50 AM	1050-Arastradero
137	137	1500-Page-Mill-Rd	10:56 AM	1050-Arastradero
138	138	3170-Porter-Dr	10:58 AM	1050-Arastradero
139	139	1050/1070-Arastradero-Rd	11:08 AM	1050-Arastradero
140	140	3165-Porter-Dr	11:13 AM	1050-Arastradero
141	141	Page-Mill-Rd-(Peter-Coutts-East)	11:15 AM	1050-Arastradero
142	142	El-Camino-Real-@-California-Ave 	11:21 AM	1050-Arastradero
143	143	Main-Quad-(Campus-Oval-Side) 	11:25 AM	1050-Arastradero
144	144	Li-Ka-Shing-Center-(Campus-Dr) 	11:30 AM	1050-Arastradero
145	145	Li-Ka-Shing-Center-(Campus-Dr) 	11:00 AM	1050-Arastradero
146	146	Y2E2-(Via-Ortega) 	11:02 AM	1050-Arastradero
147	147	Main-Quad-(Memorial-Church)	11:04 AM	1050-Arastradero
148	148	California-Ave-@-Yale-St	11:10 AM	1050-Arastradero
149	149	1500-Page-Mill-Rd	11:16 AM	1050-Arastradero
150	150	3170-Porter-Dr	11:18 AM	1050-Arastradero
151	151	1050/1070-Arastradero-Rd	11:28 AM	1050-Arastradero
152	152	3165-Porter-Dr	11:33 AM	1050-Arastradero
153	153	Page-Mill-Rd-(Peter-Coutts-East)	11:35 AM	1050-Arastradero
154	154	El-Camino-Real-@-California-Ave 	11:41 AM	1050-Arastradero
155	155	Main-Quad-(Campus-Oval-Side) 	11:45 AM	1050-Arastradero
156	156	Li-Ka-Shing-Center-(Campus-Dr) 	11:50 AM	1050-Arastradero
157	157	Li-Ka-Shing-Center-(Campus-Dr) 	11:20 AM	1050-Arastradero
158	158	Y2E2-(Via-Ortega) 	11:22 AM	1050-Arastradero
159	159	Main-Quad-(Memorial-Church)	11:24 AM	1050-Arastradero
160	160	California-Ave-@-Yale-St	11:30 AM	1050-Arastradero
161	161	1500-Page-Mill-Rd	11:36 AM	1050-Arastradero
162	162	3170-Porter-Dr	11:38 AM	1050-Arastradero
163	163	1050/1070-Arastradero-Rd	11:48 AM	1050-Arastradero
164	164	3165-Porter-Dr	11:53 AM	1050-Arastradero
165	165	Page-Mill-Rd-(Peter-Coutts-East)	11:55 AM	1050-Arastradero
166	166	El-Camino-Real-@-California-Ave 	12:01 PM	1050-Arastradero
167	167	Main-Quad-(Campus-Oval-Side) 	12:05 PM	1050-Arastradero
168	168	Li-Ka-Shing-Center-(Campus-Dr) 	12:10 PM	1050-Arastradero
169	169	Li-Ka-Shing-Center-(Campus-Dr) 	11:40 AM	1050-Arastradero
170	170	Y2E2-(Via-Ortega) 	11:42 AM	1050-Arastradero
171	171	Main-Quad-(Memorial-Church)	11:44 AM	1050-Arastradero
172	172	California-Ave-@-Yale-St	11:50 AM	1050-Arastradero
173	173	1500-Page-Mill-Rd	11:56 AM	1050-Arastradero
174	174	3170-Porter-Dr	11:58 AM	1050-Arastradero
175	175	1050/1070-Arastradero-Rd	12:08 PM	1050-Arastradero
176	176	3165-Porter-Dr	12:13 PM	1050-Arastradero
177	177	Page-Mill-Rd-(Peter-Coutts-East)	12:15 PM	1050-Arastradero
178	178	El-Camino-Real-@-California-Ave 	12:21 PM	1050-Arastradero
179	179	Main-Quad-(Campus-Oval-Side) 	12:25 PM	1050-Arastradero
180	180	Li-Ka-Shing-Center-(Campus-Dr) 	12:30 PM	1050-Arastradero
181	184	Stock-Farm-Garage	5:35 AM	C
182	185	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	5:38 AM	C
183	186	Main-Quad-(Memorial-Church) 	5:41 AM	C
184	187	Schwab-Residential-Center-(Serra-St)	5:44 AM	C
185	188	Olmsted-Rd-@-Hulme-Crt	5:46 AM	C
186	191	Graduate-School-of-Business-(Serra-St)	5:49 AM	C
187	192	Main-Quad-(Campus-Oval-Side) 	5:52 AM	C
188	193	Li-Ka-Shing-Center-(Campus-Dr) 	5:55 AM	C
189	194	Stock-Farm-Garage	5:58 AM	C
190	201	Stock-Farm-Garage	6:00 AM	C
191	202	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	6:03 AM	C
192	203	Main-Quad-(Memorial-Church) 	6:06 AM	C
193	204	Schwab-Residential-Center-(Serra-St)	6:09 AM	C
194	205	Olmsted-Rd-@-Hulme-Crt	6:11 AM	C
195	208	Graduate-School-of-Business-(Serra-St)	6:14 AM	C
196	209	Main-Quad-(Campus-Oval-Side) 	6:17 AM	C
197	210	Li-Ka-Shing-Center-(Campus-Dr) 	6:20 AM	C
198	211	Stock-Farm-Garage	6:23 AM	C
199	218	Stock-Farm-Garage	6:25 AM	C
200	219	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	6:28 AM	C
201	220	Main-Quad-(Memorial-Church) 	6:31 AM	C
202	221	Schwab-Residential-Center-(Serra-St)	6:34 AM	C
203	222	Olmsted-Rd-@-Hulme-Crt	6:36 AM	C
204	225	Graduate-School-of-Business-(Serra-St)	6:39 AM	C
205	226	Main-Quad-(Campus-Oval-Side) 	6:42 AM	C
206	227	Li-Ka-Shing-Center-(Campus-Dr) 	6:45 AM	C
207	228	Stock-Farm-Garage	6:48 AM	C
208	235	Stock-Farm-Garage	6:50 AM	C
209	236	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	6:53 AM	C
210	237	Main-Quad-(Memorial-Church) 	6:56 AM	C
211	238	Schwab-Residential-Center-(Serra-St)	6:59 AM	C
212	239	Olmsted-Rd-@-Hulme-Crt	7:01 AM	C
213	240	Olmsted-Rd-@-Wellesley-St	7:04 AM	C
214	241	Bowdoin-St-@-Pine-Hill-Rd	7:07 AM	C
215	242	Graduate-School-of-Business-(Serra-St)	7:10 AM	C
216	243	Main-Quad-(Campus-Oval-Side) 	7:13 AM	C
217	244	Li-Ka-Shing-Center-(Campus-Dr) 	7:16 AM	C
218	245	Stock-Farm-Garage	7:20 AM	C
219	246	Lucas-Center-(Welch-Rd) 	7:22 AM	C
220	247	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	7:26 AM	C
221	248	Vi-at-Palo-Alto	7:28 AM	C
222	249	Vi-at-Palo-Alto	7:02 AM	C
223	250	Stanford-West-Apartments-(Clark-Way)	7:04 AM	C
224	251	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:08 AM	C
225	252	Stock-Farm-Garage	7:14 AM	C
226	253	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	7:17 AM	C
227	254	Main-Quad-(Memorial-Church) 	7:20 AM	C
228	255	Schwab-Residential-Center-(Serra-St)	7:23 AM	C
229	256	Olmsted-Rd-@-Hulme-Crt	7:25 AM	C
230	257	Olmsted-Rd-@-Wellesley-St	7:28 AM	C
231	258	Bowdoin-St-@-Pine-Hill-Rd	7:31 AM	C
232	259	Graduate-School-of-Business-(Serra-St)	7:34 AM	C
233	260	Main-Quad-(Campus-Oval-Side) 	7:37 AM	C
234	261	Li-Ka-Shing-Center-(Campus-Dr) 	7:40 AM	C
235	262	Stock-Farm-Garage	7:44 AM	C
236	263	Lucas-Center-(Welch-Rd) 	7:46 AM	C
237	264	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	7:50 AM	C
238	265	Vi-at-Palo-Alto	7:52 AM	C
239	269	Stock-Farm-Garage	7:29 AM	C
240	270	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	7:32 AM	C
241	271	Main-Quad-(Memorial-Church) 	7:35 AM	C
242	272	Schwab-Residential-Center-(Serra-St)	7:38 AM	C
243	273	Olmsted-Rd-@-Hulme-Crt	7:40 AM	C
244	274	Olmsted-Rd-@-Wellesley-St	7:43 AM	C
245	275	Bowdoin-St-@-Pine-Hill-Rd	7:46 AM	C
246	276	Graduate-School-of-Business-(Serra-St)	7:49 AM	C
247	277	Main-Quad-(Campus-Oval-Side) 	7:52 AM	C
248	278	Li-Ka-Shing-Center-(Campus-Dr) 	7:55 AM	C
249	279	Stock-Farm-Garage	7:59 AM	C
250	283	Vi-at-Palo-Alto	7:32 AM	C
251	284	Stanford-West-Apartments-(Clark-Way)	7:34 AM	C
252	285	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:38 AM	C
253	286	Stock-Farm-Garage	7:44 AM	C
254	287	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	7:47 AM	C
255	288	Main-Quad-(Memorial-Church) 	7:50 AM	C
256	289	Schwab-Residential-Center-(Serra-St)	7:53 AM	C
257	290	Olmsted-Rd-@-Hulme-Crt	7:55 AM	C
258	291	Olmsted-Rd-@-Wellesley-St	7:58 AM	C
259	292	Bowdoin-St-@-Pine-Hill-Rd	8:01 AM	C
260	293	Graduate-School-of-Business-(Serra-St)	8:04 AM	C
261	294	Main-Quad-(Campus-Oval-Side) 	8:07 AM	C
262	295	Li-Ka-Shing-Center-(Campus-Dr) 	8:10 AM	C
263	296	Stock-Farm-Garage	8:14 AM	C
264	297	Lucas-Center-(Welch-Rd) 	8:16 AM	C
265	298	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	8:20 AM	C
266	299	Vi-at-Palo-Alto	8:22 AM	C
267	303	Stock-Farm-Garage	7:59 AM	C
268	304	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	8:02 AM	C
269	305	Main-Quad-(Memorial-Church) 	8:05 AM	C
270	306	Schwab-Residential-Center-(Serra-St)	8:08 AM	C
271	307	Olmsted-Rd-@-Hulme-Crt	8:10 AM	C
272	308	Olmsted-Rd-@-Wellesley-St	8:13 AM	C
273	309	Bowdoin-St-@-Pine-Hill-Rd	8:16 AM	C
274	310	Graduate-School-of-Business-(Serra-St)	8:19 AM	C
275	311	Main-Quad-(Campus-Oval-Side) 	8:22 AM	C
276	312	Li-Ka-Shing-Center-(Campus-Dr) 	8:25 AM	C
277	313	Stock-Farm-Garage	8:29 AM	C
278	317	Vi-at-Palo-Alto	8:02 AM	C
279	318	Stanford-West-Apartments-(Clark-Way)	8:04 AM	C
280	319	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:08 AM	C
281	320	Stock-Farm-Garage	8:14 AM	C
282	321	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	8:17 AM	C
283	322	Main-Quad-(Memorial-Church) 	8:20 AM	C
284	323	Schwab-Residential-Center-(Serra-St)	8:23 AM	C
285	324	Olmsted-Rd-@-Hulme-Crt	8:25 AM	C
286	325	Olmsted-Rd-@-Wellesley-St	8:28 AM	C
287	326	Bowdoin-St-@-Pine-Hill-Rd	8:31 AM	C
288	327	Graduate-School-of-Business-(Serra-St)	8:34 AM	C
289	328	Main-Quad-(Campus-Oval-Side) 	8:37 AM	C
290	329	Li-Ka-Shing-Center-(Campus-Dr) 	8:40 AM	C
291	330	Stock-Farm-Garage	8:44 AM	C
292	331	Lucas-Center-(Welch-Rd) 	8:46 AM	C
293	332	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	8:50 AM	C
294	333	Vi-at-Palo-Alto	8:52 AM	C
295	337	Stock-Farm-Garage	8:29 AM	C
296	338	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	8:32 AM	C
297	339	Main-Quad-(Memorial-Church) 	8:35 AM	C
298	340	Schwab-Residential-Center-(Serra-St)	8:38 AM	C
299	341	Olmsted-Rd-@-Hulme-Crt	8:40 AM	C
300	342	Olmsted-Rd-@-Wellesley-St	8:43 AM	C
301	343	Bowdoin-St-@-Pine-Hill-Rd	8:46 AM	C
302	344	Graduate-School-of-Business-(Serra-St)	8:49 AM	C
303	345	Main-Quad-(Campus-Oval-Side) 	8:52 AM	C
304	346	Li-Ka-Shing-Center-(Campus-Dr) 	8:55 AM	C
305	347	Stock-Farm-Garage	8:59 AM	C
306	351	Vi-at-Palo-Alto	8:32 AM	C
307	352	Stanford-West-Apartments-(Clark-Way)	8:34 AM	C
308	353	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:38 AM	C
309	354	Stock-Farm-Garage	8:44 AM	C
310	355	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	8:47 AM	C
311	356	Main-Quad-(Memorial-Church) 	8:50 AM	C
312	357	Schwab-Residential-Center-(Serra-St)	8:53 AM	C
313	358	Olmsted-Rd-@-Hulme-Crt	8:55 AM	C
314	359	Olmsted-Rd-@-Wellesley-St	8:58 AM	C
315	360	Bowdoin-St-@-Pine-Hill-Rd	9:01 AM	C
316	361	Graduate-School-of-Business-(Serra-St)	9:04 AM	C
317	362	Main-Quad-(Campus-Oval-Side) 	9:07 AM	C
318	363	Li-Ka-Shing-Center-(Campus-Dr) 	9:10 AM	C
319	364	Stock-Farm-Garage	9:14 AM	C
320	365	Lucas-Center-(Welch-Rd) 	9:16 AM	C
321	366	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	9:20 AM	C
322	367	Vi-at-Palo-Alto	9:22 AM	C
323	371	Stock-Farm-Garage	8:59 AM	C
324	372	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	9:02 AM	C
325	373	Main-Quad-(Memorial-Church) 	9:05 AM	C
326	374	Schwab-Residential-Center-(Serra-St)	9:08 AM	C
327	375	Olmsted-Rd-@-Hulme-Crt	9:10 AM	C
328	376	Olmsted-Rd-@-Wellesley-St	9:13 AM	C
329	377	Bowdoin-St-@-Pine-Hill-Rd	9:16 AM	C
330	378	Graduate-School-of-Business-(Serra-St)	9:19 AM	C
331	379	Main-Quad-(Campus-Oval-Side) 	9:22 AM	C
332	380	Li-Ka-Shing-Center-(Campus-Dr) 	9:25 AM	C
333	381	Stock-Farm-Garage	9:29 AM	C
334	385	Vi-at-Palo-Alto	9:02 AM	C
335	386	Stanford-West-Apartments-(Clark-Way)	9:04 AM	C
336	387	Across-Street-From-Lucas-Center-(Welch-Rd) 	9:08 AM	C
337	388	Stock-Farm-Garage	9:14 AM	C
338	389	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	9:17 AM	C
339	390	Main-Quad-(Memorial-Church) 	9:20 AM	C
340	391	Schwab-Residential-Center-(Serra-St)	9:23 AM	C
341	392	Olmsted-Rd-@-Hulme-Crt	9:25 AM	C
342	393	Olmsted-Rd-@-Wellesley-St	9:28 AM	C
343	394	Bowdoin-St-@-Pine-Hill-Rd	9:31 AM	C
344	395	Graduate-School-of-Business-(Serra-St)	9:34 AM	C
345	396	Main-Quad-(Campus-Oval-Side) 	9:37 AM	C
346	397	Li-Ka-Shing-Center-(Campus-Dr) 	9:40 AM	C
347	398	Stock-Farm-Garage	9:44 AM	C
348	399	Lucas-Center-(Welch-Rd) 	9:46 AM	C
349	400	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	9:50 AM	C
350	401	Vi-at-Palo-Alto	9:52 AM	C
351	405	Stock-Farm-Garage	9:29 AM	C
352	406	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	9:32 AM	C
353	407	Main-Quad-(Memorial-Church) 	9:35 AM	C
354	408	Schwab-Residential-Center-(Serra-St)	9:38 AM	C
355	409	Olmsted-Rd-@-Hulme-Crt	9:40 AM	C
356	410	Olmsted-Rd-@-Wellesley-St	9:43 AM	C
357	411	Bowdoin-St-@-Pine-Hill-Rd	9:46 AM	C
358	412	Graduate-School-of-Business-(Serra-St)	9:49 AM	C
359	413	Main-Quad-(Campus-Oval-Side) 	9:52 AM	C
360	414	Li-Ka-Shing-Center-(Campus-Dr) 	9:55 AM	C
361	415	Stock-Farm-Garage	9:59 AM	C
362	419	Vi-at-Palo-Alto	9:32 AM	C
363	420	Stanford-West-Apartments-(Clark-Way)	9:34 AM	C
364	421	Across-Street-From-Lucas-Center-(Welch-Rd) 	9:38 AM	C
365	422	Stock-Farm-Garage	9:44 AM	C
366	423	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	9:47 AM	C
367	424	Main-Quad-(Memorial-Church) 	9:50 AM	C
368	425	Schwab-Residential-Center-(Serra-St)	9:53 AM	C
369	426	Olmsted-Rd-@-Hulme-Crt	9:55 AM	C
370	427	Olmsted-Rd-@-Wellesley-St	9:58 AM	C
371	428	Bowdoin-St-@-Pine-Hill-Rd	10:01 AM	C
372	429	Graduate-School-of-Business-(Serra-St)	10:04 AM	C
373	430	Main-Quad-(Campus-Oval-Side) 	10:07 AM	C
374	431	Li-Ka-Shing-Center-(Campus-Dr) 	10:10 AM	C
375	432	Stock-Farm-Garage	10:14 AM	C
376	433	Lucas-Center-(Welch-Rd) 	10:16 AM	C
377	434	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	10:20 AM	C
378	435	Vi-at-Palo-Alto	10:22 AM	C
379	436	Vi-at-Palo-Alto	10:02 AM	C
380	437	Stanford-West-Apartments-(Clark-Way)	10:04 AM	C
381	438	Across-Street-From-Lucas-Center-(Welch-Rd) 	10:08 AM	C
382	439	Stock-Farm-Garage	10:14 AM	C
383	440	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	10:17 AM	C
384	441	Main-Quad-(Memorial-Church) 	10:20 AM	C
385	442	Schwab-Residential-Center-(Serra-St)	10:23 AM	C
386	443	Olmsted-Rd-@-Hulme-Crt	10:25 AM	C
387	444	Olmsted-Rd-@-Wellesley-St	10:28 AM	C
388	445	Bowdoin-St-@-Pine-Hill-Rd	10:31 AM	C
389	446	Graduate-School-of-Business-(Serra-St)	10:34 AM	C
390	447	Main-Quad-(Campus-Oval-Side) 	10:37 AM	C
391	448	Li-Ka-Shing-Center-(Campus-Dr) 	10:40 AM	C
392	449	Stock-Farm-Garage	10:44 AM	C
393	450	Lucas-Center-(Welch-Rd) 	10:46 AM	C
